category,total_transactions,total_fraud,fraud_rate_pct,avg_fraud_amount,total_fraud_amount
shopping_net,97543,1713.0,1.76,999.25,1711723.71
misc_net,63287,915.0,1.45,797.01,729266.76
grocery_pos,123638,1743.0,1.41,311.99,543797.9
shopping_pos,116672,843.0,0.72,876.92,739245.09
gas_transport,131659,618.0,0.47,12.29,7594.11
misc_pos,79655,250.0,0.31,218.28,54571.02
grocery_net,45452,134.0,0.29,12.16,1629.82
travel,40507,116.0,0.29,9.06,1051.49
entertainment,94014,233.0,0.25,503.54,117323.79
personal_care,90758,220.0,0.24,26.17,5757.52
kids_pets,113035,239.0,0.21,18.12,4331.08
food_dining,91461,151.0,0.17,120.08,18131.62
home,123115,198.0,0.16,257.43,50971.66
health_fitness,85879,133.0,0.15,20.25,2693.04
