hour,total_transactions,total_fraud,fraud_rate_pct
0,42502,635.0,1.49
1,42869,658.0,1.53
2,42656,625.0,1.47
3,42769,609.0,1.42
4,41863,46.0,0.11
5,42171,60.0,0.14
6,42300,40.0,0.09
7,42203,56.0,0.13
8,42505,49.0,0.12
9,42185,47.0,0.11
10,42271,40.0,0.09
11,42082,42.0,0.1
12,65257,67.0,0.1
13,65314,80.0,0.12
14,64885,86.0,0.13
15,65391,79.0,0.12
16,65726,76.0,0.12
17,65450,78.0,0.12
18,66051,81.0,0.12
19,65508,81.0,0.12
20,65098,62.0,0.1
21,65533,74.0,0.11
22,66982,1931.0,2.88
23,67104,1904.0,2.84
