state,total_transactions,total_fraud,fraud_rate_pct,total_fraud_amount
NY,83501,555.0,0.66,295548.64
TX,94876,479.0,0.5,265806.41
PA,79847,458.0,0.57,244624.67
CA,56360,326.0,0.58,170943.92
OH,46480,321.0,0.69,168919.98
FL,42671,281.0,0.66,150913.03
IL,43252,248.0,0.57,128441.99
MI,46154,238.0,0.52,121012.08
AL,40989,215.0,0.52,112596.99
MN,31714,207.0,0.65,112454.39
VA,29250,198.0,0.68,101804.98
SC,29190,193.0,0.66,95872.7
MO,38403,191.0,0.5,93092.1
NE,24168,180.0,0.74,100152.31
WI,29368,163.0,0.56,90108.74
AR,31127,161.0,0.52,81139.81
MD,26193,157.0,0.6,78232.88
KS,22996,156.0,0.68,77715.9
KY,28475,155.0,0.54,84736.61
OR,18597,149.0,0.8,80219.66
NC,30266,149.0,0.49,72430.67
WV,25691,146.0,0.57,76322.32
GA,26063,146.0,0.56,77655.36
OK,26671,143.0,0.54,74137.63
IN,27580,142.0,0.51,90012.42
IA,26985,142.0,0.53,70005.06
TN,17554,140.0,0.8,75951.84
ME,16505,119.0,0.72,65757.72
NJ,24603,118.0,0.48,66708.63
MS,21188,115.0,0.54,63565.56
CO,13880,113.0,0.81,59301.93
WY,19322,110.0,0.57,54103.98
WA,18924,96.0,0.51,43792.49
LA,20965,91.0,0.43,48922.05
NM,16407,82.0,0.5,46729.23
SD,12324,74.0,0.6,39016.1
VT,11768,72.0,0.61,44472.2
MA,12376,69.0,0.56,43713.8
UT,10699,61.0,0.57,25224.63
NH,8278,59.0,0.71,36574.33
ND,14786,57.0,0.39,33997.17
NV,5607,47.0,0.84,24793.48
AZ,10770,37.0,0.34,18333.62
AK,2120,36.0,1.7,18578.67
MT,11754,32.0,0.27,16776.24
DC,3613,21.0,0.58,9639.36
CT,7702,16.0,0.21,10788.4
RI,550,15.0,2.73,10994.76
ID,5545,11.0,0.2,6893.94
DE,9,9.0,100.0,4630.44
HI,2559,7.0,0.27,3926.79
